sim_time_s,wall_time_s,state,object_x_m,object_y_m,object_z_m,attached,base_x_m,base_y_m,tool_x_m,tool_y_m,tool_z_m,grasp_x_m,grasp_y_m,grasp_z_m
0.0,1788976100.7049673,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan
0.0,1788976100.7249198,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan
0.0,1788976100.7448277,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan
0.0,1788976100.7648304,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan
0.829,1788976100.7849398,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan
0.833,1788976100.8048575,IDLE,nan,nan,nan,False,-1.41323068504571e-19,7.015040462846462e-39,nan,nan,nan,nan,nan,nan
0.833,1788976100.824866,IDLE,-0.044,-0.225,0.16249942761582956,False,-1.41323068504571e-19,7.015040462846462e-39,nan,nan,nan,nan,nan,nan
0.844,1788976100.845242,IDLE,-0.044,-0.225,0.16249942761582956,False,-1.3142923724379363e-19,6.662310832635571e-36,nan,nan,nan,nan,nan,nan
0.849,1788976100.8649867,IDLE,-0.044,-0.225,0.16249942761582956,False,-1.3142923724379363e-19,6.662310832635571e-36,nan,nan,nan,nan,nan,nan
0.849,1788976100.884962,IDLE,-0.044,-0.225,0.16249942761582956,False,-1.3142923724379363e-19,6.662310832635571e-36,nan,nan,nan,nan,nan,nan
0.856,1788976100.905147,IDLE,-0.044,-0.225,0.16249942761582956,False,-1.3142923724379363e-19,6.662310832635571e-36,nan,nan,nan,nan,nan,nan
0.865,1788976100.9249184,IDLE,-0.044,-0.225,0.16249942761582956,False,-1.356267341602188e-19,1.1218409440687395e-37,nan,nan,nan,nan,nan,nan
0.865,1788976100.9448323,IDLE,-0.044,-0.225,0.16249942761582956,False,-1.356267341602188e-19,1.1218409440687395e-37,nan,nan,nan,nan,nan,nan
0.868,1788976100.9649465,IDLE,-0.044,-0.225,0.16249942761582956,False,-1.356267341602188e-19,1.1218409440687395e-37,nan,nan,nan,nan,nan,nan
0.881,1788976100.985444,IDLE,-0.044,-0.225,0.16249942761582956,False,-1.2769778109765728e-19,-9.705953180631575e-34,nan,nan,nan,nan,nan,nan
0.881,1788976101.0048442,IDLE,-0.044,-0.225,0.16249942761582956,False,-1.2769778109765728e-19,-9.705953180631575e-34,nan,nan,nan,nan,nan,nan
0.887,1788976101.024893,IDLE,-0.044,-0.225,0.16249942761582956,False,-1.2769778109765728e-19,-9.705953180631575e-34,nan,nan,nan,nan,nan,nan
0.897,1788976101.0471604,IDLE,-0.044,-0.225,0.16249942761582956,False,-1.2769778109765728e-19,-9.705953180631575e-34,nan,nan,nan,nan,nan,nan
0.897,1788976101.0648088,IDLE,-0.044,-0.225,0.16249942761582956,False,-1.2769778109765728e-19,-9.705953180631575e-34,nan,nan,nan,nan,nan,nan
0.906,1788976101.0852199,IDLE,-0.044,-0.225,0.16249942761582956,False,-1.2769778109765728e-19,-9.705953180631575e-34,nan,nan,nan,nan,nan,nan
0.913,1788976101.105706,IDLE,-0.044,-0.225,0.16249942761582956,False,-1.2842921839975323e-19,-9.76370800784089e-34,nan,nan,nan,nan,nan,nan
0.913,1788976101.1248884,IDLE,-0.044,-0.225,0.16249942761582956,False,-1.2842921839975323e-19,-9.76370800784089e-34,nan,nan,nan,nan,nan,nan
0.924,1788976101.1451137,IDLE,-0.044,-0.225,0.16249942761582956,False,8.083780393241051e-18,1.4223511501130853e-33,-0.03000000000021331,-0.15734978945277062,0.2769112564981023,-0.03150000000021329,-0.15734978945276856,0.2769112564981022
0.929,1788976101.1648853,IDLE,-0.044,-0.225,0.16249942761582956,False,8.083780393241051e-18,1.4223511501130853e-33,-0.03000000000021331,-0.15734978945277062,0.2769112564981023,-0.03150000000021329,-0.15734978945276856,0.2769112564981022
0.929,1788976101.1849568,IDLE,-0.044,-0.225,0.16249942761582956,False,8.083780393241051e-18,1.4223511501130853e-33,-0.03000000000021331,-0.15734978945277062,0.2769112564981023,-0.03150000000021329,-0.15734978945276856,0.2769112564981022
0.939,1788976101.2052646,IDLE,-0.044,-0.225,0.16249942761582956,False,8.083780393241051e-18,1.4223511501130853e-33,-0.03000000000021331,-0.15734978945277062,0.2769112564981023,-0.03150000000021329,-0.15734978945276856,0.2769112564981022
0.945,1788976101.225026,IDLE,-0.044,-0.225,0.16249942761582956,False,-1.4444778907283527e-19,1.3162739552745978e-32,-0.03000000000021331,-0.15734978945277062,0.2769112564981023,-0.03150000000021329,-0.15734978945276856,0.2769112564981022
0.945,1788976101.2449498,IDLE,-0.044,-0.225,0.16249942761582956,False,-1.4444778907283527e-19,1.3162739552745978e-32,-0.03000000000021331,-0.15734978945277062,0.2769112564981023,-0.03150000000021329,-0.15734978945276856,0.2769112564981022
