sim_time_s,wall_time_s,state,object_x_m,object_y_m,object_z_m,attached,base_x_m,base_y_m,tool_x_m,tool_y_m,tool_z_m,grasp_x_m,grasp_y_m,grasp_z_m
0.0,1788912866.520735,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan
0.0,1788912866.5410347,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan
0.0,1788912866.5608027,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan
0.431,1788912866.5812173,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan
0.433,1788912866.6008284,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan
0.433,1788912866.620773,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan
0.449,1788912866.6408718,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan
0.449,1788912866.6608226,IDLE,-0.044,-0.225,0.16249999998242465,False,nan,nan,nan,nan,nan,nan,nan,nan
0.463,1788912866.6808004,IDLE,-0.044,-0.225,0.16249999998242465,False,nan,nan,nan,nan,nan,nan,nan,nan
0.465,1788912866.7007787,IDLE,-0.044,-0.225,0.16249999998242465,False,nan,nan,nan,nan,nan,nan,nan,nan
0.472,1788912866.7208922,IDLE,-0.044,-0.225,0.16249999998242465,False,nan,nan,nan,nan,nan,nan,nan,nan
0.481,1788912866.740949,IDLE,-0.044,-0.225,0.16249999998242465,False,nan,nan,nan,nan,nan,nan,nan,nan
0.481,1788912866.7609587,IDLE,-0.044,-0.225,0.16249999998242465,False,nan,nan,nan,nan,nan,nan,nan,nan
0.494,1788912866.7808385,IDLE,-0.044,-0.225,0.16249999998242465,False,nan,nan,nan,nan,nan,nan,nan,nan
0.497,1788912866.800759,IDLE,-0.044,-0.225,0.16249999998242465,False,nan,nan,nan,nan,nan,nan,nan,nan
