sim_time_s,wall_time_s,state,object_x_m,object_y_m,object_z_m,attached,base_x_m,base_y_m,tool_x_m,tool_y_m,tool_z_m,grasp_x_m,grasp_y_m,grasp_z_m,base_yaw_rad,object_tilt_deg
0.0,1788979574.7485995,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,inf
1.457,1788979574.7696445,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,inf
1.478,1788979574.789249,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,inf
1.498,1788979574.808821,IDLE,-0.04400003158963231,-0.22501227234258475,0.1625000000301287,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.578727461518027e-05
1.516,1788979574.8286974,IDLE,-0.04400003158963231,-0.22501227234258475,0.1625000000301287,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.578727461518027e-05
1.534,1788979574.849819,IDLE,-0.04400003158963231,-0.22501227234258475,0.1625000000301287,False,-1.200536544982489e-05,-3.7698448454293554e-05,nan,nan,nan,nan,nan,nan,-6.0204088289493136e-05,3.578727461518027e-05
1.551,1788979574.86932,IDLE,-0.04400003158963231,-0.22501227234258475,0.1625000000301287,False,-1.200536544982489e-05,-3.7698448454293554e-05,nan,nan,nan,nan,nan,nan,-6.0204088289493136e-05,3.578727461518027e-05
1.57,1788979574.8900645,IDLE,-0.04400003158963231,-0.22501227234258475,0.1625000000301287,False,-1.200536544982489e-05,-3.7698448454293554e-05,nan,nan,nan,nan,nan,nan,-6.0204088289493136e-05,3.578727461518027e-05
1.589,1788979574.908329,IDLE,-0.04400003158963231,-0.22501227234258475,0.1625000000301287,False,-1.200536544982489e-05,-3.7698448454293554e-05,nan,nan,nan,nan,nan,nan,-6.0204088289493136e-05,3.578727461518027e-05
1.607,1788979574.9283957,IDLE,-0.04400003158963231,-0.22501227234258475,0.1625000000301287,False,-1.200536544982489e-05,-3.7698448454293554e-05,nan,nan,nan,nan,nan,nan,-6.0204088289493136e-05,3.578727461518027e-05
1.627,1788979574.9483805,IDLE,-0.04400003158963231,-0.22501227234258475,0.1625000000301287,False,-1.200536544982489e-05,-3.7698448454293554e-05,nan,nan,nan,nan,nan,nan,-6.0204088289493136e-05,3.578727461518027e-05
1.648,1788979574.9688277,IDLE,-0.04400003158963231,-0.22501227234258475,0.1625000000301287,False,-1.200536544982489e-05,-3.7698448454293554e-05,nan,nan,nan,nan,nan,nan,-6.0204088289493136e-05,3.578727461518027e-05
1.667,1788979574.9885345,IDLE,-0.04400003158963231,-0.22501227234258475,0.1625000000301287,False,-1.200536544982489e-05,-3.7698448454293554e-05,nan,nan,nan,nan,nan,nan,-6.0204088289493136e-05,3.578727461518027e-05
1.685,1788979575.00824,IDLE,-0.04400003158963231,-0.22501227234258475,0.1625000000301287,False,-1.200536544982489e-05,-3.7698448454293554e-05,nan,nan,nan,nan,nan,nan,-6.0204088289493136e-05,3.578727461518027e-05
1.707,1788979575.0286798,IDLE,-0.04400003158963231,-0.22501227234258475,0.1625000000301287,False,-1.200536544982489e-05,-3.7698448454293554e-05,nan,nan,nan,nan,nan,nan,-6.0204088289493136e-05,3.578727461518027e-05
1.727,1788979575.0488846,IDLE,-0.04400003158963231,-0.22501227234258475,0.1625000000301287,False,-1.200536544982489e-05,-3.7698448454293554e-05,nan,nan,nan,nan,nan,nan,-6.0204088289493136e-05,3.578727461518027e-05
1.746,1788979575.069102,IDLE,-0.04400003158963231,-0.22501227234258475,0.1625000000301287,False,-1.200536544982489e-05,-3.7698448454293554e-05,nan,nan,nan,nan,nan,nan,-6.0204088289493136e-05,3.578727461518027e-05
1.764,1788979575.0885918,IDLE,-0.04400003158963231,-0.22501227234258475,0.1625000000301287,False,-1.200536544982489e-05,-3.7698448454293554e-05,nan,nan,nan,nan,nan,nan,-6.0204088289493136e-05,3.578727461518027e-05
1.784,1788979575.1091914,IDLE,-0.04400003158963231,-0.22501227234258475,0.1625000000301287,False,-1.200536544982489e-05,-3.7698448454293554e-05,nan,nan,nan,nan,nan,nan,-6.0204088289493136e-05,3.578727461518027e-05
1.802,1788979575.1286407,IDLE,-0.04400003158963231,-0.22501227234258475,0.1625000000301287,False,-1.200536544982489e-05,-3.7698448454293554e-05,nan,nan,nan,nan,nan,nan,-6.0204088289493136e-05,3.578727461518027e-05
1.825,1788979575.1495004,IDLE,-0.04400003158963231,-0.22501227234258475,0.1625000000301287,False,-1.200536544982489e-05,-3.7698448454293554e-05,nan,nan,nan,nan,nan,nan,-6.0204088289493136e-05,3.578727461518027e-05
1.844,1788979575.1690018,IDLE,-0.04400003158963231,-0.22501227234258475,0.1625000000301287,False,-1.200536544982489e-05,-3.7698448454293554e-05,nan,nan,nan,nan,nan,nan,-6.0204088289493136e-05,3.578727461518027e-05
1.862,1788979575.1882708,IDLE,-0.04400003158963231,-0.22501227234258475,0.1625000000301287,False,-1.200536544982489e-05,-3.7698448454293554e-05,nan,nan,nan,nan,nan,nan,-6.0204088289493136e-05,3.578727461518027e-05
1.882,1788979575.208417,IDLE,-0.04400003158963231,-0.22501227234258475,0.1625000000301287,False,-1.200536544982489e-05,-3.7698448454293554e-05,nan,nan,nan,nan,nan,nan,-6.0204088289493136e-05,3.578727461518027e-05
1.902,1788979575.2293177,IDLE,-0.04400003158963231,-0.22501227234258475,0.1625000000301287,False,-1.200536544982489e-05,-3.7698448454293554e-05,nan,nan,nan,nan,nan,nan,-6.0204088289493136e-05,3.578727461518027e-05
1.92,1788979575.2488637,IDLE,-0.04400003158963231,-0.22501227234258475,0.1625000000301287,False,-1.200536544982489e-05,-3.7698448454293554e-05,nan,nan,nan,nan,nan,nan,-6.0204088289493136e-05,3.578727461518027e-05
1.942,1788979575.2685843,IDLE,-0.04400003158963231,-0.22501227234258475,0.1625000000301287,False,-1.200536544982489e-05,-3.7698448454293554e-05,nan,nan,nan,nan,nan,nan,-6.0204088289493136e-05,3.578727461518027e-05
1.962,1788979575.2896616,IDLE,-0.04400003158963231,-0.22501227234258475,0.1625000000301287,False,-1.200536544982489e-05,-3.7698448454293554e-05,nan,nan,nan,nan,nan,nan,-6.0204088289493136e-05,3.578727461518027e-05
1.98,1788979575.3088374,IDLE,-0.04400003158963231,-0.22501227234258475,0.1625000000301287,False,-1.200536544982489e-05,-3.7698448454293554e-05,nan,nan,nan,nan,nan,nan,-6.0204088289493136e-05,3.578727461518027e-05
2.001,1788979575.3296146,IDLE,-0.04400003158963231,-0.22501227234258475,0.1625000000301287,False,-1.200536544982489e-05,-3.7698448454293554e-05,nan,nan,nan,nan,nan,nan,-6.0204088289493136e-05,3.578727461518027e-05
2.021,1788979575.350393,IDLE,-0.04400003158963231,-0.22501227234258475,0.1625000000301287,False,-1.200536544982489e-05,-3.7698448454293554e-05,nan,nan,nan,nan,nan,nan,-6.0204088289493136e-05,3.578727461518027e-05
2.039,1788979575.3686228,IDLE,-0.04400003158963231,-0.22501227234258475,0.1625000000301287,False,-1.200536544982489e-05,-3.7698448454293554e-05,nan,nan,nan,nan,nan,nan,-6.0204088289493136e-05,3.578727461518027e-05
2.06,1788979575.3892846,IDLE,-0.04400003158963231,-0.22501227234258475,0.1625000000301287,False,-1.200536544982489e-05,-3.7698448454293554e-05,nan,nan,nan,nan,nan,nan,-6.0204088289493136e-05,3.578727461518027e-05
2.08,1788979575.4090717,IDLE,-0.04400003158963231,-0.22501227234258475,0.1625000000301287,False,-1.200536544982489e-05,-3.7698448454293554e-05,nan,nan,nan,nan,nan,nan,-6.0204088289493136e-05,3.578727461518027e-05
2.1,1788979575.429445,IDLE,-0.04400003158963231,-0.22501227234258475,0.1625000000301287,False,-1.200536544982489e-05,-3.7698448454293554e-05,nan,nan,nan,nan,nan,nan,-6.0204088289493136e-05,3.578727461518027e-05
2.118,1788979575.4486916,IDLE,-0.04400003158963231,-0.22501227234258475,0.1625000000301287,False,-1.200536544982489e-05,-3.7698448454293554e-05,nan,nan,nan,nan,nan,nan,-6.0204088289493136e-05,3.578727461518027e-05
2.138,1788979575.46886,IDLE,-0.04400003158963231,-0.22501227234258475,0.1625000000301287,False,-1.200536544982489e-05,-3.7698448454293554e-05,nan,nan,nan,nan,nan,nan,-6.0204088289493136e-05,3.578727461518027e-05
2.158,1788979575.488787,IDLE,-0.04400003158963231,-0.22501227234258475,0.1625000000301287,False,-1.200536544982489e-05,-3.7698448454293554e-05,nan,nan,nan,nan,nan,nan,-6.0204088289493136e-05,3.578727461518027e-05
2.176,1788979575.5085604,IDLE,-0.04400003158963231,-0.22501227234258475,0.1625000000301287,False,-1.200536544982489e-05,-3.7698448454293554e-05,nan,nan,nan,nan,nan,nan,-6.0204088289493136e-05,3.578727461518027e-05
2.197,1788979575.528723,IDLE,-0.04400003158963231,-0.22501227234258475,0.1625000000301287,False,-1.200536544982489e-05,-3.7698448454293554e-05,nan,nan,nan,nan,nan,nan,-6.0204088289493136e-05,3.578727461518027e-05
2.217,1788979575.5494194,IDLE,-0.04400003158963231,-0.22501227234258475,0.1625000000301287,False,-1.200536544982489e-05,-3.7698448454293554e-05,nan,nan,nan,nan,nan,nan,-6.0204088289493136e-05,3.578727461518027e-05
2.237,1788979575.5684183,IDLE,-0.04400003158963231,-0.22501227234258475,0.1625000000301287,False,-1.200536544982489e-05,-3.7698448454293554e-05,nan,nan,nan,nan,nan,nan,-6.0204088289493136e-05,3.578727461518027e-05
2.258,1788979575.588945,IDLE,-0.04400003158963231,-0.22501227234258475,0.1625000000301287,False,-1.200536544982489e-05,-3.7698448454293554e-05,nan,nan,nan,nan,nan,nan,-6.0204088289493136e-05,3.578727461518027e-05
2.278,1788979575.608796,IDLE,-0.04400003158963231,-0.22501227234258475,0.1625000000301287,False,-1.200536544982489e-05,-3.7698448454293554e-05,nan,nan,nan,nan,nan,nan,-6.0204088289493136e-05,3.578727461518027e-05
2.297,1788979575.6286352,IDLE,-0.04400003158963231,-0.22501227234258475,0.1625000000301287,False,-1.200536544982489e-05,-3.7698448454293554e-05,nan,nan,nan,nan,nan,nan,-6.0204088289493136e-05,3.578727461518027e-05
2.318,1788979575.649365,IDLE,-0.04400003158963231,-0.22501227234258475,0.1625000000301287,False,-1.200536544982489e-05,-3.7698448454293554e-05,nan,nan,nan,nan,nan,nan,-6.0204088289493136e-05,3.578727461518027e-05
2.338,1788979575.6690688,IDLE,-0.04400003158963231,-0.22501227234258475,0.1625000000301287,False,-1.200536544982489e-05,-3.7698448454293554e-05,nan,nan,nan,nan,nan,nan,-6.0204088289493136e-05,3.578727461518027e-05
2.358,1788979575.6891778,IDLE,-0.04400003158963231,-0.22501227234258475,0.1625000000301287,False,-1.200536544982489e-05,-3.7698448454293554e-05,nan,nan,nan,nan,nan,nan,-6.0204088289493136e-05,3.578727461518027e-05
2.378,1788979575.7093656,FREEZE_BASE,-0.04400003158963231,-0.22501227234258475,0.1625000000301287,False,-1.200536544982489e-05,-3.7698448454293554e-05,-0.03002161141180075,-0.1595948101117271,0.27181152711036954,-0.031521611409082315,-0.1595947198055802,0.2718115271103698,-6.0204088289493136e-05,3.578727461518027e-05
2.397,1788979575.7301118,FREEZE_BASE,-0.04400003158963231,-0.22501227234258475,0.1625000000301287,False,-1.200536544982489e-05,-3.7698448454293554e-05,-0.030021611411845638,-0.15959481012211774,0.271811527070928,-0.03152161140912722,-0.15959471981597045,0.27181152707092826,-6.0204088289493136e-05,3.578727461518027e-05
2.416,1788979575.7485306,FREEZE_BASE,-0.04400003158963231,-0.22501227234258475,0.1625000000301287,False,-1.200536544982489e-05,-3.7698448454293554e-05,-0.03002161141189054,-0.1595948101325085,0.2718115270314864,-0.03152161140917213,-0.15959471982636075,0.27181152703148664,-6.0204088289493136e-05,3.578727461518027e-05
2.436,1788979575.7698264,FREEZE_BASE,-0.04400003158963231,-0.22501227234258475,0.1625000000301287,False,-1.200536544982489e-05,-3.7698448454293554e-05,-0.030021611411957937,-0.15959481014809446,0.271811526972324,-0.031521611409239536,-0.15959471984194612,0.2718115269723243,-6.0204088289493136e-05,3.578727461518027e-05
2.456,1788979575.7890902,FREEZE_BASE,-0.04400003158963231,-0.22501227234258475,0.1625000000301287,False,-1.200536544982489e-05,-3.7698448454293554e-05,-0.030021611412025303,-0.1595948101636805,0.2718115269131616,-0.0315216114093069,-0.15959471985753151,0.2718115269131619,-6.0204088289493136e-05,3.578727461518027e-05
2.475,1788979575.809438,FREEZE_BASE,-0.04400003158963231,-0.22501227234258475,0.1625000000301287,False,-1.200536544982489e-05,-3.7698448454293554e-05,-0.030021611412070204,-0.15959481017407126,0.27181152687372,-0.03152161140935181,-0.15959471986792184,0.2718115268737203,-6.0204088289493136e-05,3.578727461518027e-05
2.494,1788979575.8289006,FREEZE_BASE,-0.04400003158963231,-0.22501227234258475,0.1625000000301287,False,-1.200536544982489e-05,-3.7698448454293554e-05,-0.03002161141211511,-0.1595948101844619,0.2718115268342784,-0.0315216114093967,-0.15959471987831214,0.2718115268342787,-6.0204088289493136e-05,3.578727461518027e-05
2.515,1788979575.8488514,FREEZE_BASE,-0.04400003158963231,-0.22501227234258475,0.1625000000301287,False,-1.200536544982489e-05,-3.7698448454293554e-05,-0.030021475001037898,-0.15732899803193617,0.27701156806010335,-0.031521474998319504,-0.15732890772578556,0.27701156806010324,-6.0204088289493136e-05,3.578727461518027e-05
2.535,1788979575.869512,FREEZE_BASE,-0.04400003158963231,-0.22501227234258475,0.1625000000301287,False,-1.200536544982489e-05,-3.7698448454293554e-05,-0.030021475001037898,-0.15732899803193617,0.27701156806010335,-0.031521474998319504,-0.15732890772578556,0.27701156806010324,-6.0204088289493136e-05,3.578727461518027e-05
2.556,1788979575.888944,FREEZE_BASE,-0.04400003158963231,-0.22501227234258475,0.1625000000301287,False,-1.200536544982489e-05,-3.7698448454293554e-05,-0.030021488009385665,-0.15754506887375613,0.2765242499958318,-0.031521488006667264,-0.15754497856760546,0.27652424999583175,-6.0204088289493136e-05,3.578727461518027e-05
2.575,1788979575.9091868,FREEZE_BASE,-0.04400003158963231,-0.22501227234258475,0.1625000000301287,False,-1.200536544982489e-05,-3.7698448454293554e-05,-0.030021491241483882,-0.15759882385479151,0.27640226462479806,-0.03152149123876549,-0.15759873354868056,0.27640226462479806,-6.0204088289493136e-05,3.578727461518027e-05
