sim_time_s,wall_time_s,state,object_x_m,object_y_m,object_z_m,attached,base_x_m,base_y_m,tool_x_m,tool_y_m,tool_z_m,grasp_x_m,grasp_y_m,grasp_z_m,base_yaw_rad,object_tilt_deg
0.0,1788979657.3120353,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,inf
0.0,1788979657.330337,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,inf
0.0,1788979657.3502438,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,inf
0.19,1788979657.371657,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,inf
0.193,1788979657.3940184,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,inf
0.193,1788979657.4101539,IDLE,-0.04399992603780555,-0.225006468227232,0.16250016849722002,False,-1.20023305563912e-05,-3.770036699283618e-05,nan,nan,nan,nan,nan,nan,-6.072524423134805e-05,0.014746690044293392
0.193,1788979657.430155,IDLE,-0.04399992603780555,-0.225006468227232,0.16250016849722002,False,-1.20023305563912e-05,-3.770036699283618e-05,nan,nan,nan,nan,nan,nan,-6.072524423134805e-05,0.014746690044293392
0.193,1788979657.4502954,IDLE,-0.04399992603780555,-0.225006468227232,0.16250016849722002,False,-1.20023305563912e-05,-3.770036699283618e-05,nan,nan,nan,nan,nan,nan,-6.072524423134805e-05,0.014746690044293392
0.193,1788979657.4739535,IDLE,-0.04399992603780555,-0.225006468227232,0.16250016849722002,False,-1.20023305563912e-05,-3.770036699283618e-05,nan,nan,nan,nan,nan,nan,-6.072524423134805e-05,0.014746690044293392
0.193,1788979657.4902582,IDLE,-0.04399992603780555,-0.225006468227232,0.16250016849722002,False,-1.20023305563912e-05,-3.770036699283618e-05,nan,nan,nan,nan,nan,nan,-6.072524423134805e-05,0.014746690044293392
0.193,1788979657.5102918,IDLE,-0.04399992603780555,-0.225006468227232,0.16250016849722002,False,-1.20023305563912e-05,-3.770036699283618e-05,nan,nan,nan,nan,nan,nan,-6.072524423134805e-05,0.014746690044293392
0.209,1788979657.53013,IDLE,-0.04400007752478483,-0.22501479892745663,0.16249966370872884,False,-1.2002442384197403e-05,-3.770036078757498e-05,nan,nan,nan,nan,nan,nan,-6.0703239320705124e-05,0.006470822451270033
