sim_time_s,wall_time_s,state,object_x_m,object_y_m,object_z_m,attached,base_x_m,base_y_m,tool_x_m,tool_y_m,tool_z_m,grasp_x_m,grasp_y_m,grasp_z_m,base_yaw_rad,object_tilt_deg
0.0,1788980633.4197865,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,inf
1.257,1788980633.4397936,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,inf
1.274,1788980633.4596486,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,inf
1.294,1788980633.4801903,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,inf
1.314,1788980633.5010612,IDLE,-0.044,-0.225,0.16249942761582956,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0
1.334,1788980633.5207136,IDLE,-0.044,-0.225,0.16249942761582956,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0
1.354,1788980633.540143,IDLE,-0.044,-0.225,0.16249942761582956,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0
1.374,1788980633.559995,IDLE,-0.044,-0.225,0.16249942761582956,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0
1.394,1788980633.5806298,IDLE,-0.044,-0.225,0.16249942761582956,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0
1.413,1788980633.600678,IDLE,-0.044,-0.225,0.16249942761582956,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0
1.433,1788980633.6207097,IDLE,-0.044,-0.225,0.16249942761582956,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0
1.453,1788980633.6394367,IDLE,-0.044,-0.225,0.16249942761582956,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0
1.473,1788980633.661253,IDLE,-0.044,-0.225,0.16249942761582956,False,-1.2036430058431577e-19,1.410792025130002e-38,-0.030000000000639217,-0.15965919074006096,0.27165703648588135,-0.03150000000063922,-0.15965919074005494,0.27165703648588146,nan,0.0
1.494,1788980633.680125,IDLE,-0.044,-0.225,0.16249942761582956,False,-1.2268588564517384e-19,1.468892459803785e-38,-0.030000000000662295,-0.15965919074524407,0.27165703646613776,-0.031500000000662304,-0.15965919074523777,0.2716570364661379,nan,0.0
