sim_time_s,wall_time_s,state,object_x_m,object_y_m,object_z_m,attached,base_x_m,base_y_m,tool_x_m,tool_y_m,tool_z_m,grasp_x_m,grasp_y_m,grasp_z_m,base_yaw_rad,object_tilt_deg,m1_rad,m2_rad,m3_rad,m4_rad,m5_rad,m6_rad
1.12,1788982420.0530217,IDLE,-0.044000020297190814,-0.22500377318976156,0.16250000028969402,False,-5.765647216090915e-06,-2.0252084686218404e-05,nan,nan,nan,nan,nan,nan,-2.5029761631533565e-05,3.9936169227980436e-05,nan,nan,nan,nan,nan,nan
1.123,1788982420.0642543,IDLE,-0.044000020297190814,-0.22500377318976156,0.16250000028969402,False,-5.76564722115324e-06,-2.0252084690231182e-05,nan,nan,nan,nan,nan,nan,-2.502976221174547e-05,3.9936169227980436e-05,nan,nan,nan,nan,nan,nan
1.139,1788982420.0832164,IDLE,-0.044000020297190814,-0.22500377318976156,0.16250000028969402,False,-5.76564722115324e-06,-2.0252084690231182e-05,nan,nan,nan,nan,nan,nan,-2.502976221174547e-05,3.9936169227980436e-05,nan,nan,nan,nan,nan,nan
1.157,1788982420.103477,IDLE,-0.044000020297190814,-0.22500377318976156,0.16250000028969402,False,-5.76564722115324e-06,-2.0252084690231182e-05,nan,nan,nan,nan,nan,nan,-2.502976221174547e-05,3.9936169227980436e-05,nan,nan,nan,nan,nan,nan
1.175,1788982420.1253803,IDLE,-0.044000020297190814,-0.22500377318976156,0.16250000028969402,False,-5.76564722115324e-06,-2.0252084690231182e-05,nan,nan,nan,nan,nan,nan,-2.502976221174547e-05,3.9936169227980436e-05,nan,nan,nan,nan,nan,nan
1.19,1788982420.145317,IDLE,-0.044000020297190814,-0.22500377318976156,0.16250000028969402,False,-5.76564722115324e-06,-2.0252084690231182e-05,nan,nan,nan,nan,nan,nan,-2.502976221174547e-05,3.9936169227980436e-05,nan,nan,nan,nan,nan,nan
1.206,1788982420.164312,IDLE,-0.044000020297190814,-0.22500377318976156,0.16250000028969402,False,-5.76564722115324e-06,-2.0252084690231182e-05,nan,nan,nan,nan,nan,nan,-2.502976221174547e-05,3.9936169227980436e-05,-8.948037078525178e-13,0.010300739571480002,0.014424271389086364,-4.265635135604963e-12,0.0014061537644896789,1.8825379542365124e-05
1.212,1788982420.18473,IDLE,-0.044000020297190814,-0.22500377318976156,0.16250000028969402,False,-5.76564722115324e-06,-2.0252084690231182e-05,nan,nan,nan,nan,nan,nan,-2.502976221174547e-05,3.9936169227980436e-05,-8.948043021752634e-13,0.010300739575711565,0.014424271405089869,-4.294340262005431e-12,0.0014061537710903461,1.882537953566581e-05
1.227,1788982420.2037532,IDLE,-0.044000020297190814,-0.22500377318976156,0.16250000028969402,False,-5.76564722115324e-06,-2.0252084690231182e-05,nan,nan,nan,nan,nan,nan,-2.502976221174547e-05,3.9936169227980436e-05,-8.948048902568672e-13,0.010300739579943128,0.014424271421093373,-4.323045397377856e-12,0.0014061537776910097,1.8825379528966567e-05
1.244,1788982420.2245908,IDLE,-0.044000020297190814,-0.22500377318976156,0.16250000028969402,False,-5.76564722115324e-06,-2.0252084690231182e-05,nan,nan,nan,nan,nan,nan,-2.502976221174547e-05,3.9936169227980436e-05,-8.948059644004102e-13,0.010300739588406254,0.014424271453100384,-4.380455450551579e-12,0.001406153790892338,1.8825379515567976e-05
1.259,1788982420.243782,IDLE,-0.044000020297190814,-0.22500377318976156,0.16250000028969402,False,-5.76564722115324e-06,-2.0252084690231182e-05,nan,nan,nan,nan,nan,nan,-2.502976221174547e-05,3.9936169227980436e-05,-8.948065024205464e-13,0.010300739592637817,0.014424271469103885,-4.409160385196074e-12,0.0014061537974930044,1.8825379508868653e-05
1.275,1788982420.2646577,FREEZE_BASE,-0.044000020297190814,-0.22500377318976156,0.16250000028969402,False,-5.76564722115324e-06,-2.0252084690231182e-05,nan,nan,nan,nan,nan,nan,-2.502976221174547e-05,3.9936169227980436e-05,-8.948072784794412e-13,0.010300739601100943,0.01442427150111089,-4.466570177384469e-12,0.0014061538106943296,1.882537949547022e-05
