sim_time_s,wall_time_s,state,object_x_m,object_y_m,object_z_m,attached,base_x_m,base_y_m,tool_x_m,tool_y_m,tool_z_m,grasp_x_m,grasp_y_m,grasp_z_m,base_yaw_rad,object_tilt_deg,m1_rad,m2_rad,m3_rad,m4_rad,m5_rad,m6_rad
0.0,1788982533.7323656,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,inf,nan,nan,nan,nan,nan,nan
1.167,1788982533.7522974,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,inf,nan,nan,nan,nan,nan,nan
1.188,1788982533.7727442,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,inf,nan,nan,nan,nan,nan,nan
1.204,1788982533.7924516,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,inf,nan,nan,nan,nan,nan,nan
1.22,1788982533.8124104,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,inf,nan,nan,nan,nan,nan,nan
1.23,1788982533.8331256,IDLE,-0.044,-0.225,0.16249942761582956,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan
1.25,1788982533.852721,IDLE,-0.044,-0.225,0.16249942761582956,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan
1.268,1788982533.8727913,IDLE,-0.044,-0.225,0.16249942761582956,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,1.3692613729532282e-14,0.01076879667492004,0.014380318707899015,-3.5902198477129667e-12,0.0013864720361586491,4.892956544395308e-05
1.287,1788982533.8940928,FREEZE_BASE,-0.044,-0.225,0.16249942761582956,False,-1.2681095379346016e-19,1.177157263448382e-38,nan,nan,nan,nan,nan,nan,nan,0.0,1.3692544241051197e-14,0.01076879668339037,0.014380318739917467,-3.6486231851105835e-12,0.0013864720493601428,4.892956543034364e-05
1.3,1788982533.914989,FREEZE_BASE,-0.044,-0.225,0.16249942761582956,False,-1.2681095379346016e-19,1.177157263448382e-38,-0.030000000000556172,-0.15965919072140206,0.27165703655695833,-0.03150000000055618,-0.15965919072139673,0.27165703655695844,nan,0.0,1.3692441426605578e-14,0.010768796687625534,0.014380318755926692,-3.6778249112994634e-12,0.0013864720559608888,4.892956542353857e-05
1.307,1788982533.9347456,FREEZE_BASE,-0.044,-0.225,0.16249942761582956,False,-1.2681095379346016e-19,1.177157263448382e-38,-0.030000000000556172,-0.15965919072140206,0.27165703655695833,-0.03150000000055618,-0.15965919072139673,0.27165703655695844,nan,0.0,1.3692447274254134e-14,0.0107687966918607,0.014380318771935918,-3.7070265043375075e-12,0.0013864720625616318,4.8929565416733967e-05
1.322,1788982533.9529371,FREEZE_BASE,-0.044,-0.225,0.16249942761582956,False,-1.3698442291953094e-19,1.3687913496133657e-38,-0.030000000000579237,-0.15965919072658516,0.2716570365372147,-0.03150000000057924,-0.15965919072657958,0.27165703653721485,nan,0.0,1.3692511342626857e-14,0.010768796700331035,0.014380318803954368,-3.76542990780905e-12,0.001386472075763125,4.892956540312457e-05
1.341,1788982533.97364,FREEZE_BASE,-0.044,-0.225,0.16249942761582956,False,-1.3170865263256695e-19,1.2655573991907145e-38,-0.030000000000579237,-0.15965919072658516,0.2716570365372147,-0.03150000000057924,-0.15965919072657958,0.27165703653721485,nan,0.0,1.3692536842377334e-14,0.010768796708801367,0.014380318835972818,-3.823833275996034e-12,0.0013864720889646164,4.892956538951504e-05
1.362,1788982533.9938629,FREEZE_BASE,-0.044,-0.225,0.16249942761582956,False,-1.3164327494114078e-19,1.2643284641128937e-38,-0.03000000000060231,-0.15965919073176818,0.27165703651747114,-0.03150000000060233,-0.1596591907317625,0.27165703651747125,nan,0.0,1.369249535280827e-14,0.010768796717271701,0.01438031886799127,-3.882236629166845e-12,0.0013864721021661127,4.8929565375905434e-05
1.38,1788982534.0141842,FREEZE_BASE,-0.044,-0.225,0.16249942761582956,False,-1.3140424034243713e-19,1.2594875230037374e-38,-0.03000000000060231,-0.15965919073176818,0.27165703651747114,-0.03150000000060233,-0.1596591907317625,0.27165703651747125,nan,0.0,1.3692526396343817e-14,0.010768796721506865,0.014380318884000496,-3.911438337420451e-12,0.0013864721087668602,4.89295653691007e-05
1.397,1788982534.0340703,FREEZE_BASE,-0.044,-0.225,0.16249942761582956,False,-1.256772271558527e-19,1.1394626108742824e-38,-0.030000000000625374,-0.15965919073695123,0.2716570364977275,-0.03150000000062537,-0.15965919073694526,0.27165703649772766,nan,0.0,1.3692604110926266e-14,0.010768796729977192,0.014380318916018946,-3.969841740522843e-12,0.0013864721219683527,4.892956535549132e-05
1.412,1788982534.0541198,FREEZE_BASE,-0.044,-0.225,0.16249942761582956,False,-1.3269154979126754e-19,1.2923625943538347e-38,-0.030000000000625374,-0.15965919073695123,0.2716570364977275,-0.03150000000062537,-0.15965919073694526,0.27165703649772766,nan,0.0,1.3692570785468921e-14,0.010768796738447522,0.014380318948037395,-4.028245177458076e-12,0.0013864721351698444,4.892956534188138e-05
