sim_time_s,wall_time_s,state,object_x_m,object_y_m,object_z_m,attached,base_x_m,base_y_m,tool_x_m,tool_y_m,tool_z_m,grasp_x_m,grasp_y_m,grasp_z_m
0.826,1788898065.090927,IDLE,-0.04400002042947591,-0.22500378055395925,0.16250000004099713,False,nan,nan,nan,nan,nan,nan,nan,nan
0.826,1788898065.110764,IDLE,-0.04400002042947591,-0.22500378055395925,0.16250000004099713,False,nan,nan,nan,nan,nan,nan,nan,nan
0.841,1788898065.1310549,IDLE,-0.04400002042947591,-0.22500378055395925,0.16250000004099713,False,nan,nan,nan,nan,nan,nan,nan,nan
0.858,1788898065.1515,FREEZE_BASE,-0.04400002042947591,-0.22500378055395925,0.16250000004099713,False,nan,nan,nan,nan,nan,nan,nan,nan
0.859,1788898065.1707685,FREEZE_BASE,-0.04400002042947591,-0.22500378055395925,0.16250000004099713,False,nan,nan,nan,nan,nan,nan,nan,nan
0.878,1788898065.1908689,FREEZE_BASE,-0.04400002042947591,-0.22500378055395925,0.16250000004099713,False,nan,nan,nan,nan,nan,nan,nan,nan
0.892,1788898065.2106588,FREEZE_BASE,-0.04400002042947591,-0.22500378055395925,0.16250000004099713,False,nan,nan,nan,nan,nan,nan,nan,nan
0.892,1788898065.2307837,FREEZE_BASE,-0.04400002042947591,-0.22500378055395925,0.16250000004099713,False,nan,nan,nan,nan,nan,nan,nan,nan
0.908,1788898065.2506905,FREEZE_BASE,-0.04400002042947591,-0.22500378055395925,0.16250000004099713,False,nan,nan,nan,nan,nan,nan,nan,nan
0.924,1788898065.2713344,FREEZE_BASE,-0.04400002042947591,-0.22500378055395925,0.16250000004099713,False,nan,nan,nan,nan,nan,nan,nan,nan
0.925,1788898065.2908182,FREEZE_BASE,-0.04400002042947591,-0.22500378055395925,0.16250000004099713,False,nan,nan,nan,nan,nan,nan,nan,nan
0.944,1788898065.3106012,FREEZE_BASE,-0.04400002042947591,-0.22500378055395925,0.16250000004099713,False,nan,nan,nan,nan,nan,nan,nan,nan
0.958,1788898065.3309228,FREEZE_BASE,-0.04400002042947591,-0.22500378055395925,0.16250000004099713,False,9.778167839004482e-17,1.7531459276005139e-28,nan,nan,nan,nan,nan,nan
0.958,1788898065.3509734,FREEZE_BASE,-0.04400002042947591,-0.22500378055395925,0.16250000004099713,False,9.778167839004482e-17,1.7531459276005139e-28,nan,nan,nan,nan,nan,nan
0.972,1788898065.3711252,FREEZE_BASE,-0.04400002042947591,-0.22500378055395925,0.16250000004099713,False,9.778167839004482e-17,1.7531459276005139e-28,-0.03000000000011763,-0.15961651718423073,0.271722600544085,-0.044700000000114135,-0.1550680705516621,0.27184148380942513
0.987,1788898065.391047,FREEZE_BASE,-0.04400002042947591,-0.22500378055395925,0.16250000004099713,False,9.761592680253784e-17,1.7472023517200321e-28,-0.030000000000140338,-0.15961651718941902,0.27172260052435115,-0.0447000000001362,-0.15506807055686414,0.2718414837903016
0.991,1788898065.4110708,FREEZE_BASE,-0.04400002042947591,-0.22500378055395925,0.16250000004099713,False,9.761592680253784e-17,1.7472023517200321e-28,-0.030000000000140338,-0.15961651718941902,0.27172260052435115,-0.0447000000001362,-0.15506807055686414,0.2718414837903016
1.009,1788898065.431,FREEZE_BASE,-0.04400002042947591,-0.22500378055395925,0.16250000004099713,False,9.752873447207383e-17,1.7440757842807952e-28,-0.030000000000140338,-0.15961651718941902,0.27172260052435115,-0.0447000000001362,-0.15506807055686414,0.2718414837903016
1.024,1788898065.4507108,FREEZE_BASE,-0.04400002042947591,-0.22500378055395925,0.16250000004099713,False,9.745332803428191e-17,1.7413718406474303e-28,-0.03000000000016308,-0.15961651719460723,0.2717226005046172,-0.04470000000015828,-0.15506807056206626,0.2718414837711781
1.024,1788898065.4709122,FREEZE_BASE,-0.04400002042947591,-0.22500378055395925,0.16250000004099713,False,9.745332803428191e-17,1.7413718406474303e-28,-0.03000000000016308,-0.15961651719460723,0.2717226005046172,-0.04470000000015828,-0.15506807056206626,0.2718414837711781
1.043,1788898065.491207,FREEZE_BASE,-0.04400002042947591,-0.22500378055395925,0.16250000004099713,False,9.739616365429033e-17,1.7393220263954762e-28,-0.03000000000016308,-0.15961651719460723,0.2717226005046172,-0.04470000000015828,-0.15506807056206626,0.2718414837711781
1.057,1788898065.510871,FREEZE_BASE,-0.04400002042947591,-0.22500378055395925,0.16250000004099713,False,9.739616365429033e-17,1.7393220263954762e-28,-0.03000000000016308,-0.15961651719460723,0.2717226005046172,-0.04470000000015828,-0.15506807056206626,0.2718414837711781
