sim_time_s,wall_time_s,state,object_x_m,object_y_m,object_z_m,attached,base_x_m,base_y_m,tool_x_m,tool_y_m,tool_z_m,grasp_x_m,grasp_y_m,grasp_z_m
0.0,1788897928.5415869,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan
0.925,1788897928.5614686,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan
0.925,1788897928.5818348,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan
0.938,1788897928.6019595,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan
0.954,1788897928.621626,FREEZE_BASE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan
0.958,1788897928.6415923,FREEZE_BASE,-0.04399946018927801,-0.22502972627189077,0.16249967914869012,False,nan,nan,nan,nan,nan,nan,nan,nan
0.971,1788897928.6615076,FREEZE_BASE,-0.043999415114064744,-0.22502976255824755,0.16249973708258186,False,nan,nan,nan,nan,nan,nan,nan,nan
0.987,1788897928.6814263,FREEZE_BASE,-0.04399936855574313,-0.22502980003853326,0.16249979696632053,False,nan,nan,nan,nan,nan,nan,nan,nan
0.991,1788897928.701976,FREEZE_BASE,-0.04399936855574313,-0.22502980003853326,0.16249979696632053,False,-1.0818180943698602e-13,1.534729121308206e-24,-0.029999999996393693,-0.15953514660251034,0.27184906407935766,-0.04469999999650074,-0.15498660836247935,0.2719643891669491
1.007,1788897928.7214859,FREEZE_BASE,-0.04399936855574313,-0.22502980003853326,0.16249979696632053,False,-1.0818180943698602e-13,1.534729121308206e-24,-0.029999999996393693,-0.15953514660251034,0.27184906407935766,-0.04469999999650074,-0.15498660836247935,0.2719643891669491
1.024,1788897928.7416868,FREEZE_BASE,-0.04399932342863249,-0.22502983636666846,0.16249985497903432,False,-1.0817971396057709e-13,1.5346696659899351e-24,-0.029999999996393693,-0.15953514660251034,0.27184906407935766,-0.04469999999650074,-0.15498660836247935,0.2719643891669491
1.024,1788897928.761689,FREEZE_BASE,-0.04399932342863249,-0.22502983636666846,0.16249985497903432,False,-1.0817971396057709e-13,1.5346696659899351e-24,-0.029999999996393693,-0.15953514660251034,0.27184906407935766,-0.04469999999650074,-0.15498660836247935,0.2719643891669491
1.039,1788897928.7827253,FREEZE_BASE,-0.04399932342863249,-0.22502983636666846,0.16249985497903432,False,-1.0817971396057709e-13,1.5346696659899351e-24,-0.029999999996393693,-0.15953514660251034,0.27184906407935766,-0.04469999999650074,-0.15498660836247935,0.2719643891669491
1.057,1788897928.8017266,FREEZE_BASE,-0.04399932342863249,-0.22502983636666846,0.16249985497903432,False,-1.0817860015988905e-13,1.5346380638864259e-24,-0.02999999999641551,-0.1595351466077088,0.2718490640596421,-0.044699999996521925,-0.1549866083676912,0.27196438914784354
1.057,1788897928.8247974,FREEZE_BASE,-0.04399932342863249,-0.22502983636666846,0.16249985497903432,False,-1.0817860015988905e-13,1.5346380638864259e-24,-0.02999999999641551,-0.1595351466077088,0.2718490640596421,-0.044699999996521925,-0.1549866083676912,0.27196438914784354
1.068,1788897928.841912,FREEZE_BASE,-0.04399932342863249,-0.22502983636666846,0.16249985497903432,False,-1.0817763388546942e-13,1.5346106475592318e-24,-0.02999999999641551,-0.1595351466077088,0.2718490640596421,-0.044699999996521925,-0.1549866083676912,0.27196438914784354
1.088,1788897928.8616207,FREEZE_BASE,-0.04399927833672448,-0.22502987266646474,0.16249991295249008,False,-1.0817681481237798e-13,1.5345874077990701e-24,-0.02999999999641551,-0.1595351466077088,0.2718490640596421,-0.044699999996521925,-0.1549866083676912,0.27196438914784354
1.09,1788897928.883901,FREEZE_BASE,-0.04399927833672448,-0.22502987266646474,0.16249991295249008,False,-1.0817681481237798e-13,1.5345874077990701e-24,-0.029999999996415515,-0.1595351466077088,0.2718490640596421,-0.044699999996521925,-0.1549866083676912,0.27196438914784354
1.102,1788897928.901537,FREEZE_BASE,-0.04399927833672448,-0.22502987266646474,0.16249991295249008,False,-1.0817489510673386e-13,1.5345329395058102e-24,-0.02999999999643735,-0.15953514661290713,0.27184906403992665,-0.04469999999654313,-0.154986608372903,0.271964389128738
1.12,1788897928.9227362,FREEZE_BASE,-0.04399927833672448,-0.22502987266646474,0.16249991295249008,False,-1.0817482875950023e-13,1.5345310570189057e-24,-0.02999999999643735,-0.15953514661290713,0.27184906403992665,-0.04469999999654313,-0.154986608372903,0.271964389128738
1.123,1788897928.9421608,FREEZE_BASE,-0.04399927833672448,-0.22502987266646474,0.16249991295249008,False,-1.0817482875950023e-13,1.5345310570189057e-24,-0.02999999999643735,-0.15953514661290713,0.27184906403992665,-0.04469999999654313,-0.154986608372903,0.271964389128738
1.136,1788897928.9615774,FREEZE_BASE,-0.04399927833672448,-0.22502987266646474,0.16249991295249008,False,-1.0817482875950023e-13,1.5345310570189057e-24,-0.02999999999643735,-0.15953514661290713,0.27184906403992665,-0.04469999999654313,-0.154986608372903,0.271964389128738
1.153,1788897928.9814818,FREEZE_BASE,-0.04399927833672448,-0.22502987266646474,0.16249991295249008,False,-1.081747801439465e-13,1.534529677637511e-24,-0.029999999996459168,-0.15953514661810556,0.2718490640202111,-0.04469999999656433,-0.15498660837811493,0.27196438910963244
1.156,1788897929.0042868,FREEZE_BASE,-0.04399927833672448,-0.22502987266646474,0.16249991295249008,False,-1.081747801439465e-13,1.534529677637511e-24,-0.029999999996459168,-0.15953514661810556,0.2718490640202111,-0.04469999999656433,-0.15498660837811493,0.27196438910963244
1.168,1788897929.021569,FREEZE_BASE,-0.04399927833672448,-0.22502987266646474,0.16249991295249008,False,-1.081747319782534e-13,1.5345283110201618e-24,-0.029999999996459168,-0.15953514661810556,0.2718490640202111,-0.04469999999656433,-0.15498660837811493,0.27196438910963244
1.187,1788897929.041514,FREEZE_BASE,-0.04399923332624938,-0.22502990890070598,0.1624999708425657,False,-1.0817469666501398e-13,1.5345273090687363e-24,-0.029999999996459168,-0.15953514661810556,0.2718490640202111,-0.04469999999656433,-0.15498660837811493,0.27196438910963244
1.189,1788897929.0616105,FREEZE_BASE,-0.04399923332624938,-0.22502990890070598,0.1624999708425657,False,-1.0817469666501398e-13,1.5345273090687363e-24,-0.029999999996459168,-0.15953514661810556,0.2718490640202111,-0.04469999999656433,-0.15498660837811493,0.27196438910963244
1.208,1788897929.0814712,FREEZE_BASE,-0.04399923332624938,-0.22502990890070598,0.1624999708425657,False,-1.0817467577907994e-13,1.534526716466883e-24,-0.029999999996485494,-0.1595351466243437,0.27184906399655256,-0.0446999999965899,-0.15498660838436912,0.27196438908670584
1.222,1788897929.101559,FREEZE_BASE,-0.04399923332624938,-0.22502990890070598,0.1624999708425657,False,-1.0817465744496619e-13,1.534526196268472e-24,-0.029999999996485494,-0.1595351466243437,0.27184906399655256,-0.0446999999965899,-0.15498660838436912,0.27196438908670584
1.231,1788897929.1215591,FREEZE_BASE,-0.04399923332624938,-0.22502990890070598,0.1624999708425657,False,-1.0817465744496619e-13,1.534526196268472e-24,-0.029999999996485494,-0.1595351466243437,0.27184906399655256,-0.0446999999965899,-0.15498660838436912,0.27196438908670584
1.249,1788897929.1413913,FREEZE_BASE,-0.04399923332624938,-0.22502990890070598,0.1624999708425657,False,-1.0817463170951981e-13,1.5345254660701973e-24,-0.029999999996485494,-0.1595351466243437,0.27184906399655256,-0.0446999999965899,-0.15498660838436912,0.27196438908670584
1.255,1788897929.1618378,FREEZE_BASE,-0.04399923332624938,-0.22502990890070598,0.1624999708425657,False,-1.0817463170951981e-13,1.5345254660701973e-24,-0.029999999996485494,-0.1595351466243437,0.27184906399655256,-0.0446999999965899,-0.15498660838436912,0.27196438908670584
