sim_time_s,wall_time_s,state,object_x_m,object_y_m,object_z_m,attached,base_x_m,base_y_m,tool_x_m,tool_y_m,tool_z_m,grasp_x_m,grasp_y_m,grasp_z_m
0.0,1788897858.832288,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan
0.0,1788897858.8525403,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan
0.0,1788897858.8721251,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan
0.0,1788897858.8922672,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan
0.0,1788897858.9124713,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan
0.0,1788897858.932139,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan
0.0,1788897858.9521236,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan
0.0,1788897858.9721675,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan
0.0,1788897858.992195,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan
0.0,1788897859.0122666,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan
0.0,1788897859.03239,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan
0.0,1788897859.0521536,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan
0.0,1788897859.072149,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan
0.0,1788897859.0925276,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan
0.0,1788897859.1124406,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan
0.0,1788897859.132328,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan
0.0,1788897859.152163,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan
0.0,1788897859.1721954,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan
0.0,1788897859.1924424,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan
0.002,1788897859.2121956,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan
0.002,1788897859.232399,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan
0.002,1788897859.252217,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan
0.002,1788897859.272141,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan
0.002,1788897859.2922084,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan
0.002,1788897859.312212,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan
0.002,1788897859.3324068,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan
0.002,1788897859.3522096,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan
0.002,1788897859.372453,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan
0.002,1788897859.392156,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan
0.002,1788897859.4125433,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan
0.002,1788897859.4325032,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan
0.002,1788897859.4521787,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan
0.002,1788897859.472569,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan
0.002,1788897859.4924934,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan
0.002,1788897859.512151,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan
0.003,1788897859.5320518,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan
0.003,1788897859.5521603,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan
0.003,1788897859.5723956,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan
0.003,1788897859.5922601,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan
0.003,1788897859.6124527,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan
0.003,1788897859.6322117,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan
0.003,1788897859.652144,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan
0.003,1788897859.6723871,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan
0.003,1788897859.6923301,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan
0.003,1788897859.7124267,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan
0.003,1788897859.732239,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan
0.003,1788897859.752202,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan
0.003,1788897859.772128,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan
0.003,1788897859.792115,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan
0.003,1788897859.8121912,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan
0.003,1788897859.832138,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan
0.003,1788897859.852285,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan
0.003,1788897859.8721182,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan
0.003,1788897859.8921287,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan
0.003,1788897859.9123755,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan
0.003,1788897859.932468,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan
0.003,1788897859.9522088,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan
0.003,1788897859.9722514,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan
0.003,1788897859.9921665,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan
0.003,1788897860.012225,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan
0.022,1788897860.032006,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan
0.042,1788897860.05199,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan
0.059,1788897860.072109,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan
0.071,1788897860.0921435,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan
0.09,1788897860.1120236,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan
0.1,1788897860.1321802,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan
0.119,1788897860.1521616,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan
0.133,1788897860.1741667,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan
0.146,1788897860.1920142,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan
0.162,1788897860.212182,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan
0.174,1788897860.231989,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan
0.191,1788897860.252026,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan
0.199,1788897860.2721786,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan
0.22,1788897860.2920215,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan
0.232,1788897860.3122232,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan
0.241,1788897860.3320143,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan
0.259,1788897860.352003,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan
0.268,1788897860.3720183,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan
0.285,1788897860.3921728,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan
0.298,1788897860.4122145,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan
0.316,1788897860.4321587,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan
0.331,1788897860.4551592,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan
0.344,1788897860.471955,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan
0.364,1788897860.4920652,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan
0.364,1788897860.5121787,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan
0.384,1788897860.5321617,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan
0.397,1788897860.554397,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan
0.41,1788897860.5720365,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan
0.43,1788897860.5920215,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan
0.439,1788897860.6120515,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan
