sim_time_s,wall_time_s,state,object_x_m,object_y_m,object_z_m,attached,base_x_m,base_y_m,tool_x_m,tool_y_m,tool_z_m,grasp_x_m,grasp_y_m,grasp_z_m
0.0,1788898419.4598243,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan
0.82,1788898419.4797115,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan
0.826,1788898419.5011659,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan
0.84,1788898419.519708,FREEZE_BASE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan
0.857,1788898419.5401576,FREEZE_BASE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan
0.859,1788898419.5597703,FREEZE_BASE,-0.044,-0.225,0.16249999998242465,False,nan,nan,nan,nan,nan,nan,nan,nan
0.88,1788898419.5800233,FREEZE_BASE,-0.044,-0.225,0.16249999998242465,False,nan,nan,nan,nan,nan,nan,nan,nan
0.892,1788898419.5996974,FREEZE_BASE,-0.044,-0.225,0.16249999998242465,False,nan,nan,nan,nan,nan,nan,nan,nan
0.896,1788898419.619566,FREEZE_BASE,-0.044,-0.225,0.16249999998242465,False,nan,nan,nan,nan,nan,nan,nan,nan
0.916,1788898419.6397917,FREEZE_BASE,-0.044,-0.225,0.16249999998242465,False,nan,nan,nan,nan,nan,nan,nan,nan
0.925,1788898419.659811,FREEZE_BASE,-0.044,-0.225,0.16249999998242465,False,nan,nan,nan,nan,nan,nan,nan,nan
0.931,1788898419.679574,FREEZE_BASE,-0.044,-0.225,0.16249999998242465,False,nan,nan,nan,nan,nan,nan,nan,nan
0.949,1788898419.7000902,FREEZE_BASE,-0.044,-0.225,0.16249999998242465,False,nan,nan,nan,nan,nan,nan,nan,nan
0.958,1788898419.7197514,FREEZE_BASE,-0.044,-0.225,0.16249999998242465,False,nan,nan,nan,nan,nan,nan,nan,nan
0.973,1788898419.7402263,FREEZE_BASE,-0.044,-0.225,0.16249999998242465,False,nan,nan,nan,nan,nan,nan,nan,nan
0.987,1788898419.7595477,FREEZE_BASE,-0.044,-0.225,0.16249999998242465,False,nan,nan,nan,nan,nan,nan,nan,nan
0.991,1788898419.7798252,FREEZE_BASE,-0.044,-0.225,0.16249999998242465,False,nan,nan,nan,nan,nan,nan,nan,nan
1.012,1788898419.7999377,FREEZE_BASE,-0.044,-0.225,0.16249999998242465,False,nan,nan,nan,nan,nan,nan,nan,nan
1.024,1788898419.8197966,FREEZE_BASE,-0.044,-0.225,0.16249999998242465,False,nan,nan,nan,nan,nan,nan,nan,nan
1.029,1788898419.8399296,FREEZE_BASE,-0.044,-0.225,0.16249999998242465,False,nan,nan,nan,nan,nan,nan,nan,nan
1.047,1788898419.8595722,FREEZE_BASE,-0.044,-0.225,0.16249999998242465,False,nan,nan,nan,nan,nan,nan,nan,nan
1.057,1788898419.8819695,FREEZE_BASE,-0.044,-0.225,0.16249999998242465,False,nan,nan,nan,nan,nan,nan,nan,nan
1.069,1788898419.8996935,FREEZE_BASE,-0.044,-0.225,0.16249999998242465,False,nan,nan,nan,nan,nan,nan,nan,nan
1.089,1788898419.9199376,FREEZE_BASE,-0.044,-0.225,0.16249999998242465,False,nan,nan,nan,nan,nan,nan,nan,nan
1.09,1788898419.9397814,FREEZE_BASE,-0.044,-0.225,0.16249999998242465,False,nan,nan,nan,nan,nan,nan,nan,nan
1.108,1788898419.9596162,FREEZE_BASE,-0.044,-0.225,0.16249999998242465,False,nan,nan,nan,nan,nan,nan,nan,nan
1.123,1788898419.979727,FREEZE_BASE,-0.044,-0.225,0.16249999998242465,False,nan,nan,nan,nan,nan,nan,nan,nan
1.125,1788898420.000387,FREEZE_BASE,-0.044,-0.225,0.16249999998242465,False,nan,nan,nan,nan,nan,nan,nan,nan
1.145,1788898420.01971,FREEZE_BASE,-0.044,-0.225,0.16249999998242465,False,nan,nan,nan,nan,nan,nan,nan,nan
1.156,1788898420.0396779,FREEZE_BASE,-0.044,-0.225,0.16249999998242465,False,nan,nan,nan,nan,nan,nan,nan,nan
1.166,1788898420.0597143,FREEZE_BASE,-0.044,-0.225,0.16249999998242465,False,nan,nan,nan,nan,nan,nan,nan,nan
1.18,1788898420.0807111,FREEZE_BASE,-0.044,-0.225,0.16249999998242465,False,nan,nan,nan,nan,nan,nan,nan,nan
1.189,1788898420.0997598,FREEZE_BASE,-0.044,-0.225,0.16249999998242465,False,nan,nan,nan,nan,nan,nan,nan,nan
1.207,1788898420.1199157,FREEZE_BASE,-0.044,-0.225,0.16249999998242465,False,nan,nan,nan,nan,nan,nan,nan,nan
1.221,1788898420.1395974,FREEZE_BASE,-0.044,-0.225,0.16249999998242465,False,nan,nan,nan,nan,nan,nan,nan,nan
1.229,1788898420.1595385,FREEZE_BASE,-0.044,-0.225,0.16249999998242465,False,nan,nan,nan,nan,nan,nan,nan,nan
1.246,1788898420.1805625,FREEZE_BASE,-0.044,-0.225,0.16249999998242465,False,nan,nan,nan,nan,nan,nan,nan,nan
1.255,1788898420.1998012,FREEZE_BASE,-0.044,-0.225,0.16249999998242465,False,nan,nan,nan,nan,nan,nan,nan,nan
1.27,1788898420.21968,FREEZE_BASE,-0.044,-0.225,0.16249999998242465,False,nan,nan,nan,nan,nan,nan,nan,nan
