timestamp_s,elapsed_s,valid_detection,horizontal_error,estimated_distance_m,target_distance_m,distance_target_error_m,linear_command_mps,angular_command_radps,robot_x_m,robot_y_m,robot_yaw_rad,target_x_m,target_y_m,reference_valid,reference_failure,reference_frame,target_frame,target_sample_age_s,transform_age_s,reference_camera_range_m,ground_truth_camera_distance_m,estimation_error_m
0.057,0.057,True,-0.001836395263671875,1.790597555902218,1.2,nan,0.0,0.0,nan,nan,nan,nan,nan,False,transform_unavailable,camera_link,,nan,nan,nan,nan,nan
0.114,0.114,True,-0.004587936401367188,1.7982027106960956,1.2,nan,0.0,0.0,nan,nan,nan,nan,nan,False,transform_unavailable,camera_link,,nan,nan,nan,nan,nan
0.173,0.173,True,-0.007372093200683594,1.7950565775348555,1.2,nan,0.0,0.0,nan,nan,nan,nan,nan,False,transform_unavailable,camera_link,,nan,nan,nan,nan,nan
0.232,0.232,True,-0.00994110107421875,1.7992524696149022,1.2,nan,0.0,0.0,nan,nan,nan,nan,nan,False,transform_unavailable,camera_link,,nan,nan,nan,nan,nan
0.29,0.29,True,-0.012288570404052734,1.8056143445505106,1.2,nan,0.0,0.0,nan,nan,nan,nan,nan,False,transform_unavailable,camera_link,,nan,nan,nan,nan,nan
0.348,0.348,True,-0.01489877700805664,1.811899480189215,1.2,nan,0.0,0.0,nan,nan,nan,nan,nan,False,transform_unavailable,camera_link,,nan,nan,nan,nan,nan
0.406,0.406,True,-0.0203125,1.8143646518299759,1.2,nan,0.0,0.0,nan,nan,nan,nan,nan,False,transform_unavailable,camera_link,,nan,nan,nan,nan,nan
0.464,0.464,True,-0.025492382049560548,1.8257467992044647,1.2,nan,0.0,0.0,nan,nan,nan,nan,nan,False,transform_unavailable,camera_link,,nan,nan,nan,nan,nan
0.52,0.52,True,-0.028043746948242188,1.824758436536251,1.2,nan,0.0,0.0,nan,nan,nan,nan,nan,False,transform_unavailable,camera_link,,nan,nan,nan,nan,nan
0.577,0.577,True,-0.030655670166015624,1.829937625441404,1.2,nan,0.0,0.0,nan,nan,nan,nan,nan,False,transform_unavailable,camera_link,,nan,nan,nan,nan,nan
