timestamp_s,elapsed_s,valid_detection,horizontal_error,estimated_distance_m,target_distance_m,distance_target_error_m,linear_command_mps,angular_command_radps,robot_x_m,robot_y_m,robot_yaw_rad,target_x_m,target_y_m,reference_valid,reference_failure,reference_frame,target_frame,target_sample_age_s,transform_age_s,reference_camera_range_m,ground_truth_camera_distance_m,estimation_error_m
0.073,0.073,True,-0.001836395263671875,1.790597555902218,1.2,nan,0.0,0.0,nan,nan,nan,nan,nan,False,transform_unavailable,camera_link,,nan,nan,nan,nan,nan
0.161,0.161,True,-0.00994110107421875,1.7992524696149022,1.2,nan,0.6496573114924399,-0.0,nan,nan,nan,nan,nan,False,transform_unavailable,camera_link,,nan,nan,nan,nan,nan
0.214,0.214,True,-0.012288570404052734,1.8056143445505106,1.2,nan,0.6496573114924399,-0.0,nan,nan,nan,nan,nan,False,transform_unavailable,camera_link,,nan,nan,nan,nan,nan
0.262,0.262,True,-0.01489877700805664,1.811899480189215,1.2,nan,0.6591777165763925,-0.0,nan,nan,nan,nan,nan,False,transform_unavailable,camera_link,,nan,nan,nan,nan,nan
0.32,0.32,True,-0.0203125,1.8143646518299759,1.2,nan,0.6661757790055618,-0.0,nan,nan,nan,nan,nan,False,transform_unavailable,camera_link,,nan,nan,nan,nan,nan
0.372,0.372,True,-0.022884941101074217,1.8206720965343346,1.2,0.5938333535394842,0.6730894282081366,-0.0,nan,nan,nan,2.018782042511206,0.013567764555667348,True,,camera_link,odom,0.114,0.032,1.7938333535394841,1.7938333535394841,0.02683874299485045
0.374,0.374,True,-0.02512702941894531,1.8247222281247288,1.2,0.5756260235471418,0.6620739068236475,0.052812500000000005,3.0585616504477597e-21,2.399517130122694e-38,1.56904937964642e-17,2.0205803189308593,0.014867453316299012,True,,camera_link,odom,0.131,0.029,1.7756260235471417,1.7756260235471417,0.04909620457758712
0.399,0.399,True,-0.027879905700683594,1.8240793753803894,1.2,0.5792310868963564,0.6699272957519667,0.06533027648925781,0.03338381739592819,4.988790505797619e-05,0.0030333366392082885,2.037419242293124,0.027048437550520724,True,,camera_link,odom,0.014,0.015,1.7792310868963563,1.7792310868963563,0.044848288484033105
0.423,0.423,True,-0.031014537811279295,1.80869534519643,1.2,0.5563329475292567,0.6673481113695471,0.07248775482177734,0.060129061172449705,0.000166883059420525,0.00578969725577971,2.0412295975841035,0.02980829209628625,True,,camera_link,odom,0.013,0.023,1.7563329475292566,1.7563329475292566,0.05236239766717343
0.461,0.461,True,-0.030174636840820314,1.795297811189367,1.2,0.5339298202352867,0.6487986344370144,0.08063779830932617,0.0862657895061575,0.0003582798104415826,0.00893370873588244,2.0449250374910726,0.03248646002594092,True,,camera_link,odom,0.013,0.03,1.7339298202352866,1.7339298202352866,0.0613679909540803
