timestamp_s,elapsed_s,valid_detection,horizontal_error,estimated_distance_m,target_distance_m,distance_target_error_m,linear_command_mps,angular_command_radps,robot_x_m,robot_y_m,robot_yaw_rad,target_x_m,target_y_m,reference_valid,reference_failure,reference_frame,target_frame,target_sample_age_s,transform_age_s,reference_camera_range_m,ground_truth_camera_distance_m,estimation_error_m
0.057,0.057,True,-0.001836395263671875,1.790597555902218,1.2,nan,0.0,0.0,nan,nan,nan,nan,nan,False,transform_unavailable,camera_link,,nan,nan,nan,nan,nan
0.115,0.115,True,-0.004587936401367188,1.7982027106960956,1.2,nan,0.0,0.0,nan,nan,nan,nan,nan,False,transform_unavailable,camera_link,,nan,nan,nan,nan,nan
0.173,0.173,True,-0.007372093200683594,1.7950565775348555,1.2,nan,0.6496573114924399,-0.0,nan,nan,nan,nan,nan,False,transform_unavailable,camera_link,,nan,nan,nan,nan,nan
0.236,0.236,True,-0.00994110107421875,1.7992524696149022,1.2,nan,0.6580229817657053,-0.0,nan,nan,nan,nan,nan,False,transform_unavailable,camera_link,,nan,nan,nan,nan,nan
0.295,0.295,True,-0.012288570404052734,1.8056143445505106,1.2,nan,0.6545622352883411,-0.0,nan,nan,nan,nan,nan,False,transform_unavailable,camera_link,,nan,nan,nan,nan,nan
0.355,0.355,True,-0.01489877700805664,1.811899480189215,1.2,nan,0.6591777165763925,-0.0,nan,nan,nan,nan,nan,False,transform_unavailable,camera_link,,nan,nan,nan,nan,nan
0.414,0.414,True,-0.017656421661376952,1.8087828894198552,1.2,nan,0.6661757790055618,-0.0,nan,nan,nan,nan,nan,False,transform_unavailable,camera_link,,nan,nan,nan,nan,nan
0.472,0.472,True,-0.0203125,1.8143646518299759,1.2,nan,0.6730894282081366,-0.0,nan,nan,nan,nan,nan,False,transform_unavailable,camera_link,,nan,nan,nan,nan,nan
0.534,0.534,True,-0.022884941101074217,1.8206720965343346,1.2,nan,0.6696611783618408,-0.0,nan,nan,nan,nan,nan,False,transform_unavailable,camera_link,,nan,nan,nan,nan,nan
0.591,0.591,True,-0.0251922607421875,1.8258058129589303,1.2,nan,0.6620739068236475,0.052812500000000005,nan,nan,nan,nan,nan,False,transform_unavailable,camera_link,,nan,nan,nan,nan,nan
0.651,0.651,True,-0.028043746948242188,1.824758436536251,1.2,nan,0.6671148573782728,0.059500846862792965,nan,nan,nan,nan,nan,False,transform_unavailable,camera_link,,nan,nan,nan,nan,nan
0.709,0.709,True,-0.030655670166015624,1.829937625441404,1.2,nan,0.6710443847193815,0.0654998779296875,nan,nan,nan,nan,nan,False,transform_unavailable,camera_link,,nan,nan,nan,nan,nan
0.768,0.768,True,-0.03304271697998047,1.8352545298225773,1.2,nan,0.6679616559420739,0.07291374206542969,nan,nan,nan,nan,nan,False,transform_unavailable,camera_link,,nan,nan,nan,nan,nan
0.831,0.831,True,-0.0353795051574707,1.839140074538597,1.2,nan,0.6716891119077801,0.07970474243164062,nan,nan,nan,nan,nan,False,transform_unavailable,camera_link,,nan,nan,nan,nan,nan
0.891,0.891,True,-0.04015169143676758,1.8474204979431286,1.2,nan,0.6756903936017393,0.08591106414794923,-1.1684437518193213e-19,-2.210134713822145e-37,3.783039980111772e-18,nan,nan,False,transform_unavailable,camera_link,,nan,nan,nan,nan,nan
0.949,0.949,True,-0.045565223693847655,1.8536620654706968,1.2,nan,0.678180376472624,0.09198671340942383,0.014062515379178419,2.191258964346992e-05,0.0031164512632218507,nan,nan,False,transform_stale,camera_link,,nan,nan,nan,nan,nan
0.95,0.95,True,-0.047906494140625,1.8567167216744516,1.2,nan,0.6835680168678656,0.10439439773559571,0.03512379277153542,0.00013697945916396826,0.007863171577159768,nan,nan,False,transform_stale,camera_link,,nan,nan,nan,nan,nan
0.95,0.95,True,-0.05060262680053711,1.860981359021,1.2,nan,0.6862655879610763,0.1184695816040039,0.04212260164225325,0.00019771878972467424,0.00949344062773093,nan,nan,False,transform_stale,camera_link,,nan,nan,nan,nan,nan
0.951,0.951,True,-0.05266284942626953,1.864471540124061,1.2,nan,0.6877812984850544,0.124556884765625,0.056037180894973324,0.0003526917849499396,0.012826927179995702,nan,nan,False,transform_stale,camera_link,,nan,nan,nan,nan,nan
0.951,0.951,True,-0.05507926940917969,1.8707326792727368,1.2,nan,0.6902873625871836,0.1315668296813965,0.06986846494626485,0.000553676487853663,0.016233362183449253,nan,nan,False,transform_stale,camera_link,,nan,nan,nan,nan,nan
0.952,0.952,True,-0.05739936828613281,1.8720513083241974,1.2,nan,0.692426433004313,0.1369234085083008,0.08332256299053035,0.0007957546296615554,0.019748540473609702,nan,nan,False,transform_stale,camera_link,,nan,nan,nan,nan,nan
0.952,0.952,True,-0.05993175506591797,1.879957314530954,1.2,0.5962043007676796,0.6971681346624862,0.1432061004638672,0.09661266700132431,0.0010811114274858384,0.023153279463439543,2.0764646704956555,0.055426359918948724,True,,camera_link,odom,0.093,0.097,1.7962043007676796,1.7962043007676796,0.08375301376327449
0.952,0.952,True,-0.06270265579223633,1.878844751090334,1.2,0.5842852190607171,0.6968235865475715,0.14923835754394532,0.09661266700132431,0.0010811114274858384,0.023153279463439543,2.078348661917118,0.05680245290771168,True,,camera_link,odom,0.109,0.084,1.784285219060717,1.784285219060717,0.09455953202961709
0.953,0.953,True,-0.06550836563110352,1.8728379184431694,1.2,0.5727431898735955,0.7031269072313262,0.15582256317138674,0.09661266700132431,0.0010811114274858384,0.023153279463439543,2.080231238168005,0.058178289397994756,True,,camera_link,odom,0.125,0.071,1.7727431898735955,1.7727431898735955,0.10009472856957391
0.953,0.953,True,-0.06759958267211914,1.8559941410266867,1.2,0.5745520101419817,0.6999073205589857,0.16302690505981446,0.09661266700132431,0.0010811114274858384,0.023153279463439543,2.0820017514347158,0.059472954455937733,True,,camera_link,odom,0.142,0.038,1.7745520101419816,1.7745520101419816,0.08144213088470509
0.953,0.953,True,-0.0633519172668457,1.837188209502811,1.2,0.563173424763602,0.6916375466784561,0.17032175064086916,0.09661266700132431,0.0010811114274858384,0.023153279463439543,2.0838814835430215,0.06084827530308338,True,,camera_link,odom,0.158,0.025,1.763173424763602,1.763173424763602,0.07401478473920897
0.972,0.972,True,-0.05692167282104492,1.8194268519792094,1.2,0.5838093348785334,0.6565032262480773,0.16471498489379885,0.09661266700132431,0.0010811114274858384,0.023153279463439543,2.1040133283843643,0.07563452175907902,True,,camera_link,odom,0.008,0.008,1.7838093348785333,1.7838093348785333,0.035617517100676066
1.004,1.004,True,-0.0515625,1.8021770880290853,1.2,0.5614944388509058,0.6425848433117071,0.14799634933471678,0.12272445498996892,0.0017709847218372833,0.029574692486341706,2.10773094636505,0.07837756478962433,True,,camera_link,odom,0.007,0.001,1.7614944388509057,1.7614944388509057,0.04068264917817954
1.039,1.039,True,-0.047128486633300784,1.7825154558854628,1.2,0.5397736052430568,0.6282400651203442,0.1340625,0.1481275396037564,0.002595579643014972,0.03521586945575107,2.111331781664535,0.081038576700398,True,,camera_link,odom,0.007,0.006,1.7397736052430568,1.7397736052430568,0.04274185064240599
1.074,1.074,True,-0.0430109977722168,1.767730084175269,1.2,0.5186930615362915,0.610568622409981,0.12253406524658204,0.17288596784799892,0.0035324192486780805,0.04034780074339325,2.1149250394876096,0.08369820969109525,True,,camera_link,odom,0.007,0.013,1.7186930615362914,1.7186930615362914,0.04903702263897758
1.105,1.105,True,-0.03971157073974609,1.7525757723455695,1.2,0.5104163437052209,0.5976425914685447,0.11182859420776368,0.18495765439155576,0.004034167063685001,0.04269142732932219,2.118619000151999,0.08643694757852187,True,,camera_link,odom,0.006,0.0,1.7104163437052209,1.7104163437052209,0.042159428640348606
1.139,1.139,True,-0.03727178573608399,1.7328697526995829,1.2,0.4904794634739813,0.5836953325202986,0.10325008392333984,0.20856061202412335,0.005094000092853247,0.046993000874600815,2.122196121630251,0.08909364175425054,True,,camera_link,odom,0.006,0.007,1.6904794634739813,1.6904794634739813,0.04239028922560162
1.171,1.171,True,-0.03439760208129883,1.7201988525161198,1.2,0.47120614363312496,0.5643096199968963,0.09690664291381837,0.2314931271172473,0.0062188092809805405,0.05099613539408357,2.1257649261821467,0.09174881994813083,True,,camera_link,odom,0.006,0.014,1.671206143633125,1.671206143633125,0.048992708882994895
